,人员规模,企业地址,公司名,公司类型,参保人数,实缴资本,成立日期,所属地区,所属行业,曾用名,核准日期,注册号,注册号公司名,注册资本,登记机关,纳税人识别号,组织机构代码,经营方式,经营状态,经营范围,统一社会信用,统一社会信用代码,英文名,营业期限
521,-,寿光市西关小学南20米路东查看地图附近公司,寿光市郭希春百货经营部存续,个体工商户,,-,2013-05-15,山东省,批发和零售业,-,2013-05-15,370783610051516,,-,寿光市市场监督管理局,-,-,-,存续,零售文体用品、小百货、十字绣、钻石画,,-,-,***至无固定期限
522,-,山东省济宁市泗水县杨柳镇吴家庄村查看地图附近公司,泗水县喜农种植专业合作社在业,农民专业合作经济组织,-,-,2017-01-18,山东省,农、林、牧、渔业,-,2018-02-13,370831NA001087X,,6.100000万人民币元,泗水县工商行政管理局,93370831MA3D58Q76E,MA3D58Q7-6,,在营（开业）企业,西瓜、蔬菜、大蒜、农作物种植、销售;向社员提供市场信息采购生产资料;引进新品种、新技术、组织技术辅导和培训;组织社员从事产品贮藏和销售。(依法须经批准的项目经相关部门批准后方可开展经营活动),,93370831MA3D58Q76E,-,***至无固定期限
523,-,泗水县泉林镇卞桥查看地图附近公司,泗水县泉林农机加油站注销,集体分支机构(非法人),-,-,1992-03-12,山东省,批发和零售业,-,2018-06-07,370831119009746,,20万人民币元,泗水县工商行政管理局,91370831866366759H,86636675-9,,注销企业,汽油、柴油零售(有效期限以许可证为准)。农业机械、润滑油、防冻液销售。(依法须经批准的项目经相关部门批准后方可开展经营活动),,91370831866366759H,SishuiQuanlinFarmMachineryFuelStation,1992-03-12至无固定期限
524,-,泰安高新技术开发区创业大街查看地图附近公司,山东泰山中亿投资控股有限公司吊销,有限责任公司(自然人投资或控股),-,5000万人民币元,2002-12-12,山东省,租赁和商务服务业,-,2002-12-12,3709241800055,,5000万人民币元,泰安高新技术产业开发区市场监督管理局,-,74566736-0,,吊销,投资管理、资产管理、投资咨询;纺织品、建筑材料、化工材料(除化学危险品及易制毒化学品)、金属材料(不含专营)、机电设备、木材及制品的销售(凡涉及许可经营的无许可证不得经营)*(依法须经批准的项目经相关部门批准后方可开展经营活动)。,,-,-,2002-12-12至2012-12-11
525,-,泰安市岱岳区大汶口镇王家院村查看地图附近公司,泰安市岱岳区盛禾苗木专业合作社在业,农民专业合作经济组织,-,-,2012-08-03,山东省,批发和零售业,-,2018-01-11,370903NA000665X,,100万人民币元,泰安市岱岳区工商行政管理局,93370900052379657F,05237965-7,,在营（开业）企业,销售成员种植的苗木、花卉;组织采购供应成员所需农业生产资料开展与苗木、花卉种植有关的技术培训技术交流和信息咨询服务。(法律法规规定需经许可生产经营的须凭许可证生产经营),,93370900052379657F,-,***至无固定期限
526,-,泰安市岱岳区马庄镇驻地查看地图附近公司,泰安市岱岳区马庄镇仟佰惠综合超市存续,个体工商户,,-,2010-01-19,山东省,批发和零售业,-,2015-03-30,370903600247634,,-,泰安市岱岳区工商行政管理局,-,-,-,存续,婚庆用品、日用百货（依法须经批准的项目，经相关部门批准后方可开展经营活动。）,,-,-,***至无固定期限
527,-,泰安市岱岳区夏张镇故县店村查看地图附近公司,泰安市岱岳区夏张镇陈家副食品商店存续,个体工商户,,-,2011-08-10,山东省,批发和零售业,-,2015-01-19,370903600308924,,-,泰安市岱岳区工商行政管理局,-,-,-,存续,预包装食品零售（以上项目凭法定的许可证件生产经营）（依法须经批准的项目，经相关部门批准后方可开展经营活动）。,,-,-,***至无固定期限
528,-,泰安市泰山青春创业开发区泰山国际物流产业园A9-28查看地图附近公司,泰安市岱岳区天平利昌太阳能产品销售中心存续,个体工商户,,-,2016-05-27,山东省,批发和零售业,-,2016-05-27,370903600495034,,-,泰安市岱岳区工商行政管理局,-,-,-,存续,太阳能产品、电热水器销售。（依法须经批准的项目，经相关部门批准后方可开展经营活动）,,-,-,***至无固定期限
529,-,山东省泰安市泰山区财源大街中段路南青年路以西财源商务大厦81682室查看地图附近公司,泰安市益寿康健康信息咨询有限公司注销,有限责任公司(自然人独资),-,-,2015-09-01,山东省,信息传输、软件和信息技术服务业,-,2016-12-08,370902200061093,,100万人民币元,泰安市泰山区工商行政管理局,-,-,,注销企业,健康信息咨询健康管理技术服务健身服务;运动器械、五金交电、日用品、电子产品、仪器仪表、非专控通讯器材、服装、保健品、保健食品、食品、化妆品、医用橡胶制品、工艺品(不含文物)、电话销售及上述产品的网上经营。(依法须经批准的项目经相关部门批准后方可开展经营活动),,-,-,2015-09-01至无固定期限
530,-,泰安市灵山大街中段路北九州家园二期10号楼614查看地图附近公司,泰安市麦布金属制品有限公司在业非正常户,有限责任公司(自然人投资或控股),-,-,2016-12-16,山东省,批发和零售业,-,2016-12-16,370902200103909,,200万人民币元,泰安市泰山区工商行政管理局,91370902MA3CRY1A12,MA3CRY1A-1,,在营（开业）企业,金属制品、金属材料、电子产品、五金交电、计算机软件及辅助设备、办公用品、通讯器材、仪器仪表、机械设备、水泵及配件、电器控制设备的批发零售。(依法须经批准的项目经相关部门批准后方可开展经营活动),,91370902MA3CRY1A12,-,2016-12-16至无固定期限
531,-,泰安市泰山区上高街道办事处速恒现代物流园综合区三楼314号查看地图附近公司,泰安市达瑞物流有限公司在业,有限责任公司(自然人独资),-,-,2018-07-10,山东省,-,-,2018-07-10,-,,50万人民币元,泰安市泰山区工商行政管理局,91370902MA3M4KC80G,-,,在营（开业）企业,普通货运货物信息配载服务仓储服务(不含危险化学品、易燃易爆、易制毒物品)装卸服务机械化工程施工公路工程、路基工程、桥梁工程、土石方工程、混凝土工程施工建筑工程施工园林绿化工程设计施工室内外装饰工程设计施工建筑劳务分包物业管理保洁服务房屋修缮汽车配件、建材、五金、日用百货销售。(依法须经批准的项目经相关部门批准后方可开展经营活动),,91370902MA3M4KC80G,-,2018-07-10至无固定期限
532,-,泰安市泰山区省庄镇孛家店村查看地图附近公司,泰安锦顺运输有限公司在业,有限责任公司(自然人投资或控股),-,-,2017-05-02,山东省,交通运输、仓储和邮政业,-,2018-07-10,370902200114194,,120万人民币元,泰安市泰山区工商行政管理局,91370902MA3DKM951D,MA3DKM95-1,,在营（开业）企业,危险货物运输(2类、3类、4类、6类、8类)(剧毒化学品除外)普通货运大型货物道路运输(有效期限以许可证为准)(依法须经批准的项目经相关部门批准后方可开展经营活动),,91370902MA3DKM951D,-,2017-05-02至无固定期限
533,-,文化东路（15）查看地图附近公司,泰安市泰山区文化东路日泰皮鞋专卖店存续,个体工商户,,-,2013-06-07,山东省,批发和零售业,-,2015-04-01,370902600636870,,-,泰安市泰山区工商行政管理局,-,-,-,存续,皮鞋零售(依法须经批准的项目经相关部门批准后方可开展经营活动),,-,-,***至无固定期限
534,-,宅子村（13）查看地图附近公司,泰安市泰山区网盟电脑维修中心存续,个体工商户,,-,2008-11-19,山东省,居民服务、修理和其他服务业,-,2012-02-20,370902600451688,,-,泰安市泰山区工商行政管理局,-,-,-,存续,电脑维修服务及电子产品销售（涉及许可证经营无许可证不得经营）,,-,-,***至无固定期限
535,-,山东省临沂市郯城县郯城镇富民村一组75号查看地图附近公司,郯城县龙凤居装饰经营部存续,个体工商户,,-,2015-05-07,山东省,居民服务、修理和其他服务业,-,2015-05-07,371322600220991,,-,郯城县工商行政管理局,-,L8451018-1,-,存续,家装杂活（依法须经批准的项目，经相关部门批准后方可开展经营活动）服务,,-,-,***至无固定期限
536,-,郯城县人民路38-1号查看地图附近公司,日照大辰文化交流传播有限公司郯城分公司在业,有限责任公司分公司(自然人投资或控股),-,-,2012-12-27,山东省,租赁和商务服务业,-,2012-12-27,371322300003103,,-,郯城县工商行政管理局,-,06040554-4,,在营（开业）企业,为文化艺术交流活动提供服务远程教育软件技术研发、推广与销售企业营销策划展览展示服务图文设计广告设计、制作、代理、发布商务信息咨询文化用品批发零售(以上范围国家法律禁止和国际专控项目除外涉及许可的凭有效许可证经营)。(依法须经批准的项目经相关部门批准后方可开展经营活动)。,,-,-,2012-12-27至无固定期限
537,-,郯城县郯城镇城里二(郯中商场)查看地图附近公司,秦红在业,个体,,-,2010-04-16,山东省,-,-,2010-04-16,371322600128692,,-,郯城县工商行政管理局,-,-,-,在营（开业）企业,服装、内衣,,-,-,***至无固定期限
538,-,山东省枣庄市滕州市冯西村南北街14号查看地图附近公司,滕州市龙泉闫针服装加工部存续,个体工商户,,-,2017-01-12,山东省,-,-,2017-01-12,370481601258553,,-,滕州市工商行政管理局,92370481MA3D4DNR97,-,-,存续,服装加工（依法须经批准的项目，经相关部门批准后方可开展经营活动）,,92370481MA3D4DNR97,-,***至无固定期限
539,-,滕州市北辛善国北路20号查看地图附近公司,滕州市北辛千兴综合商店存续,个体工商户,,-,2001-08-23,山东省,批发和零售业,-,2001-08-23,370481600179409,,-,滕州市工商行政管理局,-,-,-,存续,糖酒茶、副食品,,-,-,***至无固定期限
540,-,滕州市新兴路步行街（北区）55号营业房查看地图附近公司,滕州市善园奥克尼老人头服装店存续,个体工商户,,-,2011-11-04,山东省,批发和零售业,-,2011-11-04,370481600822763,,-,滕州市工商行政管理局,-,-,-,存续,服装销售（以上项目中法律法规禁止的不得经营，涉及许可的凭有效许可证经营）,,-,-,***至无固定期限
541,-,山东省枣庄市滕州市大坞镇洪山口村济枣路路东70米查看地图附近公司,滕州市庆恒商贸有限公司在业,有限责任公司(自然人投资或控股),-,-,2017-11-09,山东省,批发和零售业,-,2017-11-09,370481200125282,,150万人民币元,滕州市工商局,91370481MA3ETB5K92,MA3ETB5K-9,,在营（开业）企业,批发零售,,91370481MA3ETB5K92,-,2017-11-09至无固定期限
542,-,山东省枣庄市滕州市府前中路六号院小区自西向东第五间营业房查看地图附近公司,滕州米多摄影部在业,个体工商户,,-,2017-12-14,山东省,-,-,2017-12-14,370481601389728,,-,滕州市工商局,92370481MA3MG7BH8K,-,-,在营（开业）企业,摄影服务(依法须经批准的项目经相关部门批准后方可开展经营活动),,92370481MA3MG7BH8K,-,***至无固定期限
543,-,山东省枣庄市滕州市龙泉街道善南组团9号营业房查看地图附近公司,滕州市龙泉滕沛快餐店在业,个体工商户,,-,2018-01-15,山东省,-,-,2018-01-15,-,,-,滕州市工商局,92370481MA3ML4E58H,-,-,在营（开业）企业,餐饮服务（依法须经批准的项目，经相关部门批准后方可开展经营活动）,,92370481MA3ML4E58H,-,***至无固定期限
544,-,滕州市北辛后屯村15－13号查看地图附近公司,滕州市北辛金平日用百货部在业,个体工商户,,-,2009-12-04,山东省,批发和零售业,-,2017-09-08,370481600652341,,-,滕州市工商局,92370481MA3KTDWQ06,-,-,在营（开业）企业,日用百货、土产杂品（烟花爆竹除外）（属国家禁止、限制、淘汰的项目不得经营，涉及许可的项目凭有效的许可证经营）,,92370481MA3KTDWQ06,-,***至无固定期限
545,-,滕州市柴胡店镇沙庄村中部查看地图附近公司,滕州市沙庄花木园艺专业合作社在业,农民专业合作经济组织,-,50万人民币元,2011-03-11,山东省,农、林、牧、渔业,-,2018-06-05,370481NA000582X,,50万人民币元,滕州市工商局,93370481MA3D0RC98F,-,,在营（开业）企业,组织采购、供应成员种植花木园艺所需的生产资料;组织收购、销售成员种植的花木园艺;为成员引进花木园艺新品种、种植新技术对成员开展花木园艺种植技术培训、技术交流和咨询服务。(依法须经批准的项目经相关部门批准后凭许可证方可开展经营活动),,93370481MA3D0RC98F,-,***至无固定期限
546,-,滕州市姜屯镇张庄村查看地图附近公司,滕州市姜屯海军门窗加工处在业,个体工商户,,-,2010-10-08,山东省,制造业,-,2015-05-07,370481600722158,,-,滕州市工商局,-,-,-,在营（开业）企业,门窗加工、制作、销售(依法须经批准的项目经相关部门批准后方可开展经营活动),,-,-,***至无固定期限
547,-,-,威海金榜广告有限公司曾用名注销,有限责任公司(自然人投资或控股),-,50万人民币元,2007-03-07,山东省,租赁和商务服务业,威海星晨广告有限公司,2012-04-16,371020228024534,,50万人民币元,威海火炬高技术产业开发区市场监督管理局,-,-,,注销,设计、制作、代理、发布国内广告。(依法须经批准的项目经相关部门批准后方可开展经营活动)。,,-,-,***至2027-03-06
548,-,山东省威海市经济技术开发区青岛中路-108号-9查看地图附近公司,威海市健硕贸易有限公司在业,有限责任公司(自然人独资),-,-,2017-04-06,山东省,批发和零售业,-,2017-04-06,371021200089806,,1万人民币元,威海经济技术开发区市场监督管理局,91371000MA3DF8JL01,MA3DF8JL-0,,在营（开业）企业,建材、劳保用品、家用电器、电子产品、办公用品、机械配件、防水材料、电子元件、电线电缆、消防设备、标准件、管件阀门、照明电器的批发零售。(依法须经批准的项目经相关部门批准后方可开展经营活动),,91371000MA3DF8JL01,-,2017-04-06至无固定期限
549,-,山东省威海市环翠区塔山中路-180-7号-1（一层）查看地图附近公司,环翠区千帆服装店存续,个体工商户,,-,2015-12-16,山东省,批发和零售业,-,2015-12-16,371002600522892,,-,威海市环翠区市场监督管理局,-,-,-,存续,服装、鞋帽批发及零售（依法须经批准的项目，经相关部门批准后方可开展经营活动）,,-,-,***至无固定期限
550,-,威海市花园北路-9号-102室查看地图附近公司,威海市军粮供应站花园北路粮店在业,全民所有制分支机构(非法人),-,3万人民币元,2013-07-30,山东省,批发和零售业,-,2017-07-25,371002100001262,,3万人民币元,威海市环翠区市场监督管理局,91371002075762501R,07576250-1,,在营（开业）企业,批发兼零售预包装食品兼散装食品(有效期限以许可证为准)。粮食的批发、零售。(依法须经批准的项目经相关部门批准后方可开展经营活动)。,,91371002075762501R,-,2013-07-30至无固定期限
551,-,威海市西北山路查看地图附近公司,威海市天鸿保健品有限公司吊销,有限责任公司(自然人投资或控股),-,50万人民币元,2001-11-13,山东省,批发和零售业,-,2004-12-26,3710022800759,,50万人民币元,威海市环翠区市场监督管理局,-,-,,吊销,保健食品的批发、零售(依法须经批准的项目经相关部门批准后方可开展经营活动)。,,-,-,2001-11-13至2005-01-29
552,-,温泉镇青岛南路781号查看地图附近公司,环翠区泽华建材经营部在业,个体工商户,,-,2014-03-26,山东省,批发和零售业,-,2014-03-26,371002600411873,,-,威海市环翠区市场监督管理局,-,-,-,在营（开业）企业,五金、建材零售,,-,-,***至无固定期限
553,-,威海经济技术开发区青岛中路-133号查看地图附近公司,威海经济技术开发区惠静商店存续,个体工商户,,-,2016-10-24,山东省,-,-,2016-10-24,371021600271000,,-,威海市经济技术开发区市场监督管理局,-,-,-,存续,日用百货零售。（依法须经批准的项目，经相关部门批准后方可开展经营活动）,,-,-,***至无固定期限
554,-,山东省威海市文登经济开发区珠海路152号查看地图附近公司,威海市吉兆贸易有限公司在业,有限责任公司(自然人独资),-,-,2016-05-05,山东省,批发和零售业,-,2016-05-05,371081200051428,,30万人民币元,威海市文登区市场监督管理局,91371081MA3CA44D0E,MA3CA44D-0,,在营（开业）企业,预包装食品、散装食品、乳制品(不含婴幼儿配方乳粉)、电子产品的批发、零售。(依法须经批准的项目经相关部门批准后方可开展经营活动),,91371081MA3CA44D0E,-,2016-05-05至无固定期限
555,-,山东省威海市文登区大水泊镇后村村北查看地图附近公司,文登区大水泊镇肖木海养猪场注销,个体工商户,,-,2017-03-02,山东省,-,-,2017-03-27,371081600472624,,-,威海市文登区市场监督管理局,92371081MA3D94EX3Q,-,-,注销,生猪养殖。(依法须经批准的项目经相关部门批准后方可开展经营活动),,92371081MA3D94EX3Q,-,***至无固定期限
556,-,山东省威海市文登区葛家镇英山前村北查看地图附近公司,文登区葛家镇杨林肖养猪场存续,个体工商户,,-,2017-03-15,山东省,-,-,2017-03-15,371081600476011,,-,威海市文登区市场监督管理局,92371081MA3DBA2X4J,-,-,存续,生猪养殖；畜禽养殖。（依法须经批准的项目，经相关部门批准后方可开展经营活动）,,92371081MA3DBA2X4J,-,***至无固定期限
557,-,山东省威海市文登区龙山办昆嵛北路37号查看地图附近公司,文登区左平美容店存续,个体工商户,,-,2017-11-27,山东省,-,-,2017-11-27,371081600526744,,-,威海市文登区市场监督管理局,92371081MA3EXA141P,-,-,存续,生活美容服务；化妆品批发、零售。（依法须经批准的项目，经相关部门批准后方可开展经营活动）,,92371081MA3EXA141P,-,***至无固定期限
558,-,山东省威海市文登区龙山办五龙街14号查看地图附近公司,文登区岳楠火锅店存续,个体工商户,,-,2016-11-10,山东省,-,-,2016-11-10,371081600455525,,-,威海市文登区市场监督管理局,-,-,-,存续,餐饮服务。（依法须经批准的项目，经相关部门批准后方可开展经营活动）,,-,-,***至无固定期限
559,-,山东省威海市文登区文山东路189号(天福办)查看地图附近公司,威海市恒天国际贸易有限公司在业,有限责任公司(自然人投资或控股),-,-,2015-05-05,山东省,批发和零售业,-,2017-10-18,371081200035638,,100万人民币元,威海市文登区市场监督管理局,91371081334347805J,33434780-5,,在营（开业）企业,农副产品、海产品、酒、水果、日用百货、化妆品、洗涤用品、服装、鞋帽、家居用品、渔具、户外用品、通讯器材的批发、零售(含网上销售);批发兼零售预包装食品、乳制品(不含婴幼儿配方乳品);备案范围内的货物进出口。(依法须经批准的项目经相关部门批准后方可开展经营活动),,91371081334347805J,-,2015-05-05至无固定期限
560,-,文登区城北街1-1号（天福办）查看地图附近公司,文登区梦之姿美容店存续,个体工商户,,-,2014-05-22,山东省,居民服务、修理和其他服务业,-,2014-05-27,371081600287377,,-,威海市文登区市场监督管理局,-,-,-,存续,生活美容店（有效期限以许可证为准），化妆品批发零售。,,-,-,***至无固定期限
561,-,文登市米山路西甲3号（天福办）查看地图附近公司,文登市天福办海悦旅馆存续,个体工商户,,-,2013-05-20,山东省,住宿和餐饮业,-,2013-05-20,371081600253337,,-,威海市文登区市场监督管理局,-,-,-,存续,住宿服务（卫生许可证有效期至2015年5月15日止）。,,-,-,***至无固定期限
562,-,微山县金源路39号(指定地点外销售无效)查看地图附近公司,微山县夏镇周生宝烟花爆竹销售点注销,个体工商户,,-,2013-01-17,山东省,-,-,2015-06-04,370826600149755,,-,微山县工商行政管理局,-,-,-,注销,烟花B、C、D类爆竹B、C类零售。(凭许可证经营至2013年2月22日),,-,-,***至无固定期限
563,-,微山县开发区严庄村奎文东路192号查看地图附近公司,微山县开发区杨平小吃部存续,个体工商户,,-,2017-06-09,山东省,-,-,2017-06-09,370826600269744,,-,微山县工商行政管理局,92370826MA3DTNAA03,-,-,存续,小吃服务（凭许可证经营，经营期限以许可证为准）。（依法须经批准的项目，经相关部门批准后方可开展经营活动）,,92370826MA3DTNAA03,-,***至无固定期限
564,-,微山县两城乡两城六村。查看地图附近公司,微山县两城乡原星通讯配件经营部存续,个体工商户,,-,2010-07-12,山东省,批发和零售业,-,2017-07-17,370826600105235,,-,微山县工商行政管理局,92370826MA3F8APA8Q,-,-,存续,眼镜；手机及手机配件销售；通讯器材销售。(依法须经批准的项目，经相关部门批准后方可开展经营活动),,92370826MA3F8APA8Q,-,***至无固定期限
565,-,山东省潍坊市滨海开发区沂河大街16916号查看地图附近公司,滨海开发区海寿德保健食品店在业,个体工商户,,-,2008-09-19,山东省,-,滨海开发区袁崇花保健食品店  滨海开发区海安保健品商行  滨海开发区海音保健品专卖店,2017-12-06,370727600018890,,-,潍坊滨海经济技术开发区市场监督管理局,92370700MA3FYYGQ9J,-,-,在营（开业）企业,销售,,92370700MA3FYYGQ9J,-,***至无固定期限
566,-,山东省潍坊市滨海区禧源路北段路东A10号楼06商用房查看地图附近公司,潍坊鑫存电力设备有限公司在业,有限责任公司(自然人投资或控股),-,-,2016-04-12,山东省,批发和零售业,-,2017-12-13,370727200016317,,600万人民币元,潍坊滨海经济技术开发区市场监督管理局,91370700MA3C8WPH20,MA3C8WPH-2,,在营（开业）企业,销售,,91370700MA3C8WPH20,-,2016-04-12至无固定期限
567,-,潍坊滨海经济技术开发区先进制造业产业园渤海大街以南、海丰路以西查看地图附近公司,潍坊广生电动车有限公司曾用名在业,有限责任公司(自然人投资或控股),-,1280万人民币元,2010-11-03,山东省,批发和零售业,潍坊鸣宇新能源科技有限公司,2018-01-11,370727200003695,,1280万人民币元,潍坊滨海经济技术开发区市场监督管理局,91370700564085433U,56408543-3,,在营（开业）企业,销售,,91370700564085433U,-,2010-11-03至2030-11-03
568,-,山东省潍坊高新区清池街道永春社区健康东街6686号潍坊高新中央商务区住宅东区7号楼05查看地图附近公司,潍坊家仕好经贸有限公司在业,有限责任公司(自然人投资或控股),-,-,2016-07-25,山东省,批发和零售业,-,2017-12-06,370726200111345,,200万人民币元,潍坊高新技术产业开发区市场监督管理局,91370700MA3CE7FR5T,MA3CE7FR-5,,在营（开业）企业,销售,,91370700MA3CE7FR5T,-,2016-07-25至2066-07-24
569,-,潍坊高新开发区福寿东街铭海花园9号楼1楼查看地图附近公司,潍坊金达电建安装工程有限公司在业,有限责任公司(自然人独资),-,30万人民币元,2010-03-08,山东省,建筑业,-,2016-12-28,370726200010340,,30万人民币元,潍坊高新技术产业开发区市场监督管理局,9137070055221148X5,55221148-X,,在营（开业）企业,机电设备安装;钢架结构施工;防腐保温工程施工;管道工程施工;建筑施工。(依法须经批准的项目经相关部门批准后方可开展经营活动)。,,9137070055221148X5,-,2010-03-08至2040-03-07
570,-,山东省潍坊市坊子区工业发展区北眉一村查看地图附近公司,庄治华存续,个体工商户,,-,2017-12-13,山东省,-,-,2017-12-13,370704610135788,,-,潍坊市坊子区市场监督管理局,92370704MA3MFXDFX4,-,-,存续,塑料纺织袋加工销售。(依法须经批准的项目经相关部门批准后方可开展经营活动),,92370704MA3MFXDFX4,-,***至无固定期限
571,-,山东省潍坊市坊子区黄旗堡街办二马路中段（东安泰村委南邻路西）查看地图附近公司,潍坊市坊子区全胜配货服务中心存续,个体工商户,,-,2017-09-27,山东省,-,-,2017-09-27,370704610114450,,-,潍坊市坊子区市场监督管理局,92370704MA3ELPXF0E,-,-,存续,普通货物运输、物流信息咨询服务。（依法须经批准的项目，经相关部门批准后方可开展经营活动）,,92370704MA3ELPXF0E,-,***至无固定期限
572,-,安丘市兴安街办石庙子村查看地图附近公司,潍坊日河食品有限公司在业,有限责任公司(中外合资),-,35万美元,1999-12-14,山东省,制造业,-,2016-06-01,370700400001909,,35万美元,潍坊市工商行政管理局,91370700720704751B,72070475-1,,在营（开业）企业,蔬菜初加工及销售。(依法须经批准的项目经相关部门批准后方可开展经营活动有效期以许可证为准),,91370700720704751B,-,1999-12-14至2024-12-13
573,-,-,潍坊美制汽车配件制造有限公司分公司注销,外商投资企业分公司,-,-,2003-02-21,山东省,制造业,-,2007-08-11,企合潍分字第00230号,,160万人民币元,潍坊市工商行政管理局,-,-,,注销,生产汽车用高强度螺栓、轴承外环及汽车零配件;销售本公司产品。(上述范围涉及许可经营的按许可证核定的范围及国家有关规定执行),,-,-,***至2004-05-20
574,-,寿光市金海路东金光街南怡景花园A2号楼1101室查看地图附近公司,山东天合建工科技股份有限公司曾用名在业,其他股份有限公司(非上市),-,-,2017-05-18,山东省,科学研究和技术服务业,天合电气科技有限公司,2018-01-02,370783200161963,,5000万人民币元,潍坊市工商行政管理局,91370783MA3DNY6F35,MA3DNY6F-3,,在营（开业）企业,建筑智能技术研发;承揽,,91370783MA3DNY6F35,-,2017-05-18至无固定期限
575,-,潍坊市寒亭区央子镇南查看地图附近公司,潍坊市寒亭区三友冷藏厂吊销,个人独资企业,-,10万人民币元,2002-04-08,山东省,制造业,-,2002-04-08,3707032900221,,10万人民币元,潍坊市寒亭区工商行政管理局,-,73373214-5,,吊销,家禽加工、冷藏、销售,,-,-,2002-04-08至2006-04-08
576,-,山东省潍坊市寒亭区海龙路3008号汽车北站综合楼16层1601-119查看地图附近公司,潍坊励隆商务服务中心在业,个人独资企业,-,-,2018-05-17,山东省,-,-,2018-05-17,-,,-,潍坊市寒亭区市场监督管理局,91370703MA3N4YYX4Y,-,,在营（开业）企业,会议及展览服务;市场调查及营销策划;医疗用品及器械市场管理服务;数据处理及存储服务(数据处理中的银行卡中心、云计算数据处理中心除外);互联网技术服务(以上不含增值电信、金融业务、互联网信息服务、上网服务);生物医药技术研发、转让与推广;国内广告设计、制作、代理、发布;供应链管理。(依法须经批准的项目经相关部门批准后方可开展经营活动),,91370703MA3N4YYX4Y,-,***至无固定期限
577,-,山东省潍坊市寒亭区寒亭街道办事处纪家东庄村查看地图附近公司,潍坊市寒亭区金豆农业种植专业合作社在业,农民专业合作经济组织,-,-,2016-01-06,山东省,农、林、牧、渔业,-,2016-01-06,370703NA000915X,,700万人民币元,潍坊市寒亭区市场监督管理局,93370703MA3C58213Q,MA3C5821-3,,在营（开业）企业,组织本社成员种植农产品、粮食、瓜果、蔬菜;组织销售本社成员种植的农产品、粮食、瓜果、蔬菜;组织采购、供应本社成员所需的农业生产资料;为本社成员提供与种植有关的技术培训、技术交流。(依法须经批准的项目经相关部门批准后方可开展经营活动),,93370703MA3C58213Q,-,***至无固定期限
578,-,潍坊市寒亭区固堤街道办事处大常疃村查看地图附近公司,潍坊市寒亭区吉仁果蔬种植专业合作社在业,农民专业合作经济组织,-,-,2013-06-28,山东省,农、林、牧、渔业,-,2013-06-28,370703NA000412X,,150万人民币元,潍坊市寒亭区市场监督管理局,-,-,,在营（开业）企业,组织本社成员种植瓜果、蔬菜、农产品;组织销售本社成员种植的瓜果、蔬菜、农产品;组织采购、供应本社成员所需的农业生产资料;为本社成员提供与种植果蔬、农产品有关的技术培训、技术交流(以上范围不含法律法规禁止、限制经营的项目依法需要许可及相关资质经营的凭相关许可及资质经营)。,,-,-,***至无固定期限
579,-,奎文区新华路直销市场1号楼1104号查看地图附近公司,奎文区广文籍风伟名烟名酒店存续,个体工商户,,-,2011-08-22,山东省,批发和零售业,-,2017-09-04,370705600162726,,-,潍坊市奎文区工商行政管理局,92370705MA3FPFB46X,-,-,存续,批发兼零售预包装食品,,92370705MA3FPFB46X,-,***至无固定期限
580,-,山东省潍坊市奎文区梨园豪门御景(唐宁府)11号-9查看地图附近公司,奎文区梨园奶牛家鲜奶烘焙店注销,个体工商户,,-,2015-04-24,山东省,批发和零售业,-,2017-04-24,370705610102828,,-,潍坊市奎文区工商行政管理局,-,-,-,注销,饮品店(鲜奶吧);零售,,-,-,***至无固定期限
581,-,-,潍坊新士绅服装有限公司注销,有限责任公司(自然人投资或控股),-,30万人民币元,2008-03-13,山东省,制造业,-,2011-10-21,370726200001277,,30万人民币元,潍坊市奎文区工商行政管理局,-,67315845-1,,注销,加工、销售,,-,-,***至2058-03-12
582,-,山东省潍坊市奎文区南胡住小区25号楼2-302(住宅免于提交住改商)查看地图附近公司,潍坊金联创新电子商务有限公司在业,有限责任公司(自然人独资),-,-,2015-12-01,山东省,批发和零售业,-,2016-04-08,370705200118758,,1万人民币元,潍坊市奎文区市场监督管理局,91370705MA3C1HEL6Y,MA3C1HEL-6,,在营（开业）企业,网上批发零售,,91370705MA3C1HEL6Y,-,2015-12-01至无固定期限
583,-,山东省潍坊市奎文区胜利东街5087号潍坊金融服务区2号楼1208室查看地图附近公司,潍坊布语电子商务有限公司在业,有限责任公司(自然人投资或控股),-,-,2014-10-13,山东省,批发和零售业,-,2016-09-29,370705200078513,,100万人民币元,潍坊市奎文区市场监督管理局,913707053129256276,31292562-7,,在营（开业）企业,网上销售,,913707053129256276,-,2014-10-13至2034-10-12
584,-,山东省潍坊市潍城区青年路92号(威尼斯数码广场3F-B-150)查看地图附近公司,潍城区城关云智电子产品销售中心存续,个体工商户,,-,2013-07-03,山东省,批发和零售业,-,2016-11-22,370702610051267,,-,潍坊市潍城区市场监督管理局,92370702MA3CM5LHXT,-,-,存续,销售、维修电脑；销售电脑配件，数码产品，电脑耗材；公共安全防范产品的销售和安装。（以上范围均不含国家法律法规限制禁止经营项目）,,92370702MA3CM5LHXT,-,***至无固定期限
